DTP  CI  9.5400 P 0.25 D  I  57.90
DTP  CI 16.5900 S 0.04    E  57.90
WBS  CI 10.1500 P 0.08 U  I  60.60
WBS  CI 17.6800 S 0.28    I  60.60
DAW  CI 10.4200 P 0.27 D  I  63.10
DAW  CI 18.3300 S 0.02    E  63.10
APL  CI 11.9500 P 0.16    E  70.00
QSM  NN 10.7500 P 0.07 U  I  63.90
QSM  NN 18.6900 S 0.30    I  63.90
WOR  CI 19.0100 S 0.04    I  66.70
APL  CI 20.2800 S 0.08    E  70.00
WHF  CI 21.8000 S 0.16    I  76.60
CCA  CI 12.9400 P 0.04 D  I  77.30
CCA  CI 22.7100 S 0.83    I  77.30
GSC  CI 12.9400 P 0.04 U  I  77.60
GSC  CI 22.6300 S 0.53    I  77.60
Q0068 CI 13.2100 P 0.18    E  78.90
Q0068 CI 22.9200 S 0.55    E  78.90
HAR  CI 13.1100 P 0.09 D  I  79.60
LMR2 CI 14.3700 P 0.04 D  I  87.70
ISA  CI 14.5000 P 0.01 U  I  87.70
ISA  CI 24.9700 S 0.34    I  87.70
GWY  NN 15.3400 P 0.19 U  I  91.90
GWY  NN 26.5500 S 0.75    E  91.90
HYS  CI 15.3500 P 0.02 D  I  93.90
TEH  CI 15.3500 P 0.22 U  I  95.00
TEH  CI 26.5400 S 0.02    I  95.00
WAS2 CI 15.8400 P 0.18 U  I  95.10
WAS2 CI 27.0700 S 0.45    E  95.10
CWC  CI 16.2500 P 0.50 D  I  96.40
CWC  CI 27.5600 S 0.69    E  96.40
CGO  CI 15.9700 P 0.08 D  I  97.40
CGO  CI 28.4300 S 1.22    E  97.40
EDW2 CI 16.5900 P 0.06 D  I  102.10
EDW2 CI 28.7100 S 0.28    E  102.10
FUR  CI 17.3000 P 0.37    E  102.10
FUR  CI 29.4800 S 0.60    E  102.10
RRX  CI 17.1700 P 0.12 D  I  103.40
RRX  CI 29.9300 S 0.75    E  103.40
AVM  CI 17.7100 P 0.08 U  I  107.60
AVM  CI 30.6300 S 0.38    E  107.60
LDR  CI 18.1500 P 0.17 D  I  110.10
LDR  CI 31.3800 S 0.65    E  110.10
SHO  CI 33.4400 S 1.88    E  112.80
TPO  CI 18.5800 P 0.14 D  I  113.20
TPO  CI 32.5300 S 0.90    E  113.20
SBB2 CI 19.0500 P 0.19 D  I  117.00
TEJ  CI 19.1700 P 0.21 D  I  119.70
LEC  SN 19.4200 P 0.05 D  I  119.80
PUT  CI 19.6600 P 0.13    E  120.70
HEL  SN 19.8200 P 0.05 D  I  122.50
SPG2 CI 20.6200 P 0.33 U  I  126.10
WLS2 CI 20.6700 P 0.13 D  I  127.00
FOX2 CI 20.7600 P 0.18 D  I  127.30
VTV  CI 20.7600 P 0.11    E  128.50
ADO  CI 21.1100 P 0.24 D  I  128.80
FDR  CI 20.9600 P 0.02 U  I  129.40
SHU  CI 21.2900 P 0.02    E  132.80
MAG  CI 22.0900 P 0.14 U  I  134.00
NBS  CI 21.3500 P 0.35 U  I  134.20
ALP  CI 21.5000 P 0.14    E  134.60
TJR  CI 21.7100 P 0.05 D  I  135.50
ARV  CI 22.1600 P 0.04 U  I  136.40
AMD  SN 21.6800 P 0.45 U  I  137.50
NEN  CI 22.1600 P 0.12    E  137.60
THC  CI 22.2800 P 0.19    E  137.80
5480 NP 21.8400 P 0.53    E  139.60
LRR2 CI 22.1900 P 0.12 D  I  139.70
LEO  CI 22.1800 P 0.21 D  I  140.20
DSC  CI 21.7600 P 0.95 U  I  141.50
HOL  CI 22.5100 P 0.12 D  I  142.40
RMM  CI 22.7900 P 0.02    E  142.80
CJV2 CI 22.5700 P 0.17 D  I  143.40
